Show,EpId,ClipId,fold
HeStutters,0,0,9.0
HeStutters,0,1,13.0
HeStutters,0,2,14.0
HeStutters,0,3,0.0
HeStutters,0,4,13.0
HeStutters,0,5,17.0
HeStutters,0,6,12.0
HeStutters,0,7,4.0
HeStutters,0,8,14.0
HeStutters,0,9,3.0
HeStutters,0,10,0.0
HeStutters,0,11,10.0
HeStutters,0,12,5.0
HeStutters,0,13,11.0
HeStutters,0,14,4.0
HeStutters,0,15,4.0
HeStutters,0,16,18.0
HeStutters,0,17,6.0
HeStutters,0,18,11.0
HeStutters,0,19,12.0
HeStutters,0,20,7.0
HeStutters,0,21,16.0
HeStutters,0,22,8.0
HeStutters,0,23,9.0
HeStutters,0,24,18.0
HeStutters,0,25,15.0
HeStutters,0,26,14.0
HeStutters,0,27,15.0
HeStutters,0,28,8.0
HeStutters,0,29,4.0
HeStutters,0,30,11.0
HeStutters,0,31,5.0
HeStutters,0,32,3.0
HeStutters,0,33,9.0
HeStutters,0,34,8.0
HeStutters,0,35,14.0
HeStutters,0,36,5.0
HeStutters,0,37,16.0
HeStutters,0,38,1.0
HeStutters,0,39,10.0
HeStutters,1,0,7.0
HeStutters,1,1,14.0
HeStutters,1,2,9.0
HeStutters,1,3,5.0
HeStutters,1,4,2.0
HeStutters,1,5,1.0
HeStutters,1,6,15.0
HeStutters,1,7,18.0
HeStutters,1,8,19.0
HeStutters,1,9,18.0
HeStutters,1,10,2.0
HeStutters,1,11,4.0
HeStutters,1,12,1.0
HeStutters,1,13,3.0
HeStutters,1,14,3.0
HeStutters,1,15,3.0
HeStutters,1,16,3.0
HeStutters,1,17,10.0
HeStutters,1,18,19.0
HeStutters,1,19,9.0
HeStutters,1,20,12.0
HeStutters,1,21,14.0
HeStutters,1,22,0.0
HeStutters,1,23,4.0
HeStutters,1,24,7.0
HeStutters,1,25,17.0
HeStutters,1,26,19.0
HeStutters,1,27,12.0
HeStutters,1,28,0.0
HeStutters,1,29,19.0
HeStutters,1,30,0.0
